Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Fountoulakis2003	Corbin2003	Taoka2004	Butland2005	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	P24182	Q9S4X5	P00350	P31119	P60560	P0AG44	P0A9P0	P08660	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P00363	P00634	P0A910	C1P619	P0ACV0	Q46798	A5A615	P00561	P0AFG8	P25714	P00350	Accession
# Proteins =>	13	39	886	161	358	1140	1469	1366	574	56	54	296	2049	295	104	631	299	6	73	181	435	42	213	81	22	1659	1802	64	42	2599	54	72	132	2164	Novel: 272
# Proteins =>	5	36	311	64	146	403	480	491	232	46	53	159	734	158	59	394	107	6	63	103	353	34	146	64	21	841	800	64	20	1007	42	71	52	902	Novel: 95
Q6BF86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	LDRA_ECOLI																																		
P37388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F1	XYLG_ECOLI																																		
P75616	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	G	YAAX_ECOLI													P75616																					
P64485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	YEAQ_ECOLI																																		
P00363	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	20	F1	FRDA_ECOLI			P00363		P00363	P00363	P00363	P00363	P00363	P00363		P00363		P00363	P00363	P00363	P00363				P00363		P00363			P00363	P00363			P00363	P00363	P00363		P00363
P00393	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	10	F1	DHNA_ECOLI			P00393			P00393	P00393						P00393			P00393					P00393					P00393	P00393			P00393				P00393
P00550	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	17	B	PTM3C_ECOLI			P00550			P00550	P00550	P00550	P00550	P00550		P00550		P00550		P00550				P00550	P00550		P00550			P00550	P00550			P00550			P00550	P00550
P00561	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	10	F1	AK1H_ECOLI			P00561			P00561	P00561	P00561	P00561				P00561													P00561	P00561			P00561				P00561
P00803	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	11	B	LEP_ECOLI							P00803					P00803		P00803		P00803				P00803	P00803		P00803			P00803	P00803			P00803				P00803
P00804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	B	LSPA_ECOLI																										P00804								P00804
P00805	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	10	G	ASPG2_ECOLI			P00805		P00805		P00805		P00805				P00805				P00805									P00805	P00805			P00805	P00805			
P00811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	G	AMPC_ECOLI																											P00811			P00811				P00811
P00904	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	F1	TRPG_ECOLI						P00904			P00904												P00904									P00904				
P02916	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	6	B	MALF_ECOLI													P02916			P02916							P02916			P02916	P02916			P02916				
P02918	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	11	B	PBPA_ECOLI			P02918			P02918	P02918		P02918	P02918			P02918			P02918										P02918	P02918			P02918				P02918
P02920	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	B	LACY_ECOLI												P02920		P02920																				
P02924	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6	G	ARAF_ECOLI			P02924				P02924		P02924				P02924										P02924							P02924				
P02925	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	21	G	RBSB_ECOLI	P02925		P02925	P02925	P02925	P02925	P02925	P02925	P02925			P02925	P02925	P02925			P02925			P02925		P02925	P02925	P02925	P02925	P02925	P02925			P02925				P02925
P02930	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	22	H	TOLC_ECOLI		P02930	P02930	P02930	P02930	P02930	P02930		P02930	P02930	P02930	P02930		P02930	P02930	P02930				P02930	P02930	P02930		P02930		P02930	P02930	P02930		P02930				P02930
P02931	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	25	H	OMPF_ECOLI		P02931	P02931	P02931	P02931	P02931	P02931		P02931	P02931	P02931	P02931	P02931	P02931	P02931	P02931				P02931	P02931	P02931	P02931	P02931	P02931	P02931	P02931	P02931		P02931				P02931
