ID interactor A	ID interactor B
P76136	A1Z2S2
P0A6M8	O32528
O33976	O33976
P69428	P69428
P69428	P69425
P69425	P69425
O85626	O85626
P24941	P0AA25
P25526	P00350
P33195	P00350
P37902	P00350
P02918	P00350
P0AEI4	P00350
P0AC47	P00363
P00363	P00363
P76111	P00363
P31473	P00363
P00370	P00370
P0A9L8	P0A9L8
P0ABQ4	P0ABQ4
P16659	P0ABQ4
P0AA10	P0ABQ4
P0A6A8	P0A9P0
P75990	P0A9P0
P76086	P0A9P0
P76170	P0A9P0
P77721	P0A9P0
P77399	P0A9P0
P76503	P0A9P0
P36995	P0A9P0
P32177	P0A9P0
P0A6U5	P0A9P0
P0AES4	P0A9P0
P43329	P0A9P0
P10486	P0A9P0
P0AEV9	P0A9P0
P39346	P0A9P0
P08142	P0A9P0
P0AF26	P0A9P0
P50465	P0A9P0
P68739	P0A9P0
P0A6C1	P0A9P0
P0AFH0	P0A9P0
P0A7B1	P0A9P0
P08394	P0A9P0
P0A7Y8	P0A9P0
P25522	P0A9P0
P06612	P0A9P0
P0A8F8	P0A9P0
P09030	P0A9P0
P0AAR3	P0A9P0
P00892	P0A9P0
P75989	P0A9P0
P36979	P0A9P0
Q46802	P0A9P0
P23839	P0A9P0
P31473	P0A9P0
P0A9W0	P0A9P0
P0AFP6	P00393
P67910	P00393
P00350	P00393
P0A6F5	P0AEZ1
P0AEZ1	P0AEZ1
P39452	P00452
P37146	P00452
P00452	P00452
P0A9X4	P00452
P0A8A2	P00452
P00452	P69924
P37146	P69924
P39452	P69924
P69924	P69924
P0A6Y8	P69924
P0A988	P69924
P0A884	P0A884
P0AEE8	P0AEE8
P0AFG8	P0AEE8
P0A9P0	P0AEE8
P0A8L1	P0AEE8
P37342	P0AEE8
P0A7F3	P0A7F3
P0A7F3	P0A786
P0A6A8	P0A7A7
P0A7A7	P0A7A7
P0A9P0	P0A7A7
P0AG30	P0A7A7
P60422	P0A7A7
P60723	P0A7A7
P0AG55	P0A7A7
P0A7J7	P0A7A7
P0AA10	P0A7A7
P61175	P0A7A7
P0A7M2	P0A7A7
P0A7V8	P0A7A7
P0A7W7	P0A7A7
P0A7R5	P0A7A7
P02990	P0A7A7
P37765	P0A7A7
P10485	P00490
P0ACF4	P00490
P00490	P00490
P0A9P0	P00490
P0AA10	P00490
P0A7K6	P00490
P0AGK4	P00490
P0A6C1	P00490
P0A832	P00490
P76268	P00490
P0A7K6	P00490
P0A7T3	P00490
P0AGK4	P00490
P76550	P00490
P0ABT5	P00490
P0ABU7	P00490
P0A7Y4	P00490
P0AGE0	P00490
P20605	P00509
P37685	P00509
P37747	P00509
P0AB80	P0AB80
P00550	P00550
P0A6G7	P00550
P0ABN1	P0ABN1
P00561	P00561
P0ACB0	P00561
P0A6H5	P00561
P0A6R3	P0A7Z4
P0A8V2	P0A7Z4
P0ACJ8	P0A7Z4
P0A7Z4	P0A7Z4
P0AEM6	P0A7Z4
P77071	P0A7Z4
P0A9F3	P0A7Z4
P0A9E2	P0A7Z4
P0AE60	P0A7Z4
P0ABQ0	P0A7Z4
P0A6W5	P0A7Z4
P0A6X3	P0A7Z4
P68739	P0A7Z4
P00582	P0A7Z4
P07012	P0A7Z4
P69407	P0A7Z4
P0AFG8	P0A7Z4
P21889	P0A7Z4
P0A9Y6	P0A7Z4
P0A7L0	P0A7Z4
P60438	P0A7Z4
P62399	P0A7Z4
P0A7K2	P0A7Z4
P0AA10	P0A7Z4
P02413	P0A7Z4
P0ADY7	P0A7Z4
P0A7K6	P0A7Z4
P0A7L8	P0A7Z4
P0A7M2	P0A7Z4
P0A7N9	P0A7Z4
P0A7V0	P0A7Z4
P0A7V3	P0A7Z4
P0A7V8	P0A7Z4
P0AG59	P0A7Z4
P0ADZ4	P0A7Z4
P06612	P0A7Z4
P08390	P0A7Z4
P0A8E5	P0A7Z4
P05852	P0A7Z4
P0A6F5	P0A8V2
P0AFF6	P0A8V2
P24255	P0A8V2
P0A800	P0A8V2
P77071	P0A8V2
P0AE60	P0A8V2
P0ABH9	P0A8V2
P0A9B2	P0A8V2
P0A9Z1	P0A8V2
P60240	P0A8V2
P0A6X3	P0A8V2
P0C054	P0A8V2
P0A8N5	P0A8V2
P0A9X4	P0A8V2
P00582	P0A8V2
P0A8V2	P0A8V2
P77611	P0A8V2
Q46814	P0A8V2
P06961	P0A8V2
P0A9F3	P0A8V2
P23367	P0A8V2
P24211	P0A8V2
P60422	P0A8V2
P60723	P0A8V2
P0A7J7	P0A8V2
P0A7N9	P0A8V2
P0A7U7	P0A8V2
P68679	P0A8V2
P10408	P0A8V2
P38684	P0A8V2
P02990	P0A8V2
P0A8E5	P0A8V2
P0A9U1	P0A8V2
P0AGE0	P0A8V2
P0ACA3	P0A8V2
P0A847	P0A8V2
P06612	P0A8V2
P75767	P0A8V2
P05852	P0A8V2
P37195	P0A8V2
P23839	P0A8V2
P11989	P0A8T7
P0A8V2	P0A8T7
P00579	P0A8T7
P0A7Z4	P0A8T7
P0AFF6	P0A8T7
P0AEM6	P0A8T7
P0AFX4	P0A8T7
P69441	P0A8T7
P0A6R3	P0A8T7
P0A9B2	P0A8T7
P60240	P0A8T7
P0ACF8	P0A8T7
P28632	P0A8T7
P0A8N5	P0A8T7
P0A9X4	P0A8T7
P0AFG0	P0A8T7
P00582	P0A8T7
P60723	P0A8T7
P0A8T7	P0A8T7
P77609	P0A8T7
P0AC23	P0A8T7
P06983	P0A8T7
P00490	P0A8T7
P60422	P0A8T7
P60438	P0A8T7
P0A7R1	P0A8T7
P0AG44	P0A8T7
